Squad,Competition,Country,Rank,GamesPlayed,GoalDiff,PlUsed,PlAge,Possession,TotalGlsAsist,PrgCariers,PrgPasses,GlsAsistPer90,Sh,SoTPercentage,GlsperSoT,DistofShot,PassesCmp,PassCmpPer,PrgDist
 Alavés,es La Liga,,13,15,-5,23,"26,7","43,3",21,230,514,"1,4",192,"28,1","0,2","17,6",4139,"71,4",33300
 Almería,es La Liga,,20,15,-21,28,"25,8","48,7",26,240,458,"1,73",192,"35,9","0,22","18,3",5106,77,34812
 Arsenal,eng Premier League,,1,14,18,23,"25,2","60,6",45,289,757,"3,21",202,"32,2","0,34","16,3",7277,85,38245
 Aston Villa,eng Premier League,,4,14,13,24,"27,2","53,2",52,289,568,"3,71",202,"36,6","0,36","16,1",6080,"83,7",36202
 Atalanta,it Serie A,,8,13,8,25,"27,1","52,6",41,266,596,"3,15",177,"34,5","0,34","15,7",5748,"80,8",34558
 Athletic Club,es La Liga,,5,15,12,24,28,"50,9",50,285,632,"3,33",199,"37,7","0,35","15,5",5626,"77,2",39506
 Atlético Madrid,es La Liga,,4,14,17,22,"29,7","51,7",50,274,601,"3,57",182,"40,7","0,38","15,5",6550,"82,8",37098
 Augsburg,de Bundesliga,,9,13,-2,23,"26,3",42,36,149,358,"2,77",154,"31,2","0,4","17,3",3859,"72,8",29728
 Barcelona,es La Liga,,3,15,14,25,"26,7","65,5",43,426,761,"2,87",226,"37,6","0,28","16,8",8677,"87,4",44404
 Bayern Munich,de Bundesliga,,2,12,34,23,"27,9","62,7",77,355,686,"6,42",236,"40,3","0,41",16,7185,"87,2",39470
 Betis,es La Liga,,7,15,2,30,"28,4","50,1",29,283,575,"1,93",191,"29,8","0,32","16,6",5820,"80,7",37903
 Bochum,de Bundesliga,,12,13,-12,24,"29,9","45,3",24,142,416,"1,85",191,"30,4","0,21","19,1",3686,"68,8",31329
 Bologna,it Serie A,,7,14,5,24,26,"53,8",24,241,489,"1,71",154,"38,3","0,24","17,9",6393,"83,7",36212
 Bournemouth,eng Premier League,,16,14,-14,25,"25,9","43,4",26,233,421,"1,86",176,"38,6","0,24","16,6",4435,"75,8",29289
 Brentford,eng Premier League,,11,14,3,26,"26,8","48,2",35,198,523,"2,5",209,"27,8","0,33","14,7",5163,"77,6",33704
 Brest,fr Ligue 1,,7,13,3,22,"27,4","50,8",26,250,471,2,192,"29,7","0,23","17,6",4751,"76,8",34092
 Brighton,eng Premier League,,8,14,4,27,27,"61,3",50,337,674,"3,57",199,"41,7","0,31","17,3",7946,"87,2",41898
 Burnley,eng Premier League,,19,14,-17,26,"25,2","50,9",27,247,443,"1,93",151,"31,8","0,29","17,2",5889,"80,5",33276
 Cádiz,es La Liga,,17,14,-10,28,"29,4","39,1",17,164,301,"1,21",125,"32,8","0,24","18,7",3339,"69,7",28680
 Cagliari,it Serie A,,19,14,-13,25,"26,1","42,6",23,229,444,"1,64",169,"23,7","0,3",18,4308,"75,3",31446
 Celta Vigo,es La Liga,,18,14,-10,24,27,"43,3",22,255,433,"1,57",188,"28,7","0,24","17,5",4577,76,31780
 Chelsea,eng Premier League,,10,14,3,24,"25,2","57,2",38,330,569,"2,71",182,"34,1","0,31","17,1",7139,"85,4",38912
 Clermont Foot,fr Ligue 1,,17,14,-12,24,"27,6","51,6",15,232,551,"1,07",168,28,"0,15","19,2",5876,"80,3",36642
 Crystal Palace,eng Premier League,,12,14,-5,22,"27,7",45,25,196,446,"1,79",169,"33,7","0,23","16,7",4998,"78,2",32877
 Darmstadt 98,de Bundesliga,,16,13,-19,27,"27,5","46,9",23,158,376,"1,77",153,"27,5","0,26","18,6",4453,"76,6",32086
 Dortmund,de Bundesliga,,5,13,6,24,"27,7","54,3",45,256,533,"3,46",184,"33,2","0,41","16,3",5940,"82,3",36776
 Eint Frankfurt,de Bundesliga,,7,13,4,26,"25,7","53,7",28,229,477,"2,15",141,"35,5","0,32","16,3",5982,"80,2",37451
 Empoli,it Serie A,,17,14,-17,29,"26,8","44,1",15,203,404,"1,07",146,"29,5","0,16","19,1",4397,"75,7",28968
 Everton,eng Premier League,,18,14,-5,23,"27,6","40,7",22,199,425,"1,57",203,"31,5","0,23","16,7",4206,"72,8",32278
 Fiorentina,it Serie A,,6,14,6,26,"27,3","56,7",37,241,647,"2,64",197,32,"0,32","18,5",6222,"81,5",39572
 Freiburg,de Bundesliga,,8,13,-7,23,"27,3","47,6",26,185,453,2,162,"32,7","0,23","15,9",4828,"76,8",32650
 Frosinone,it Serie A,,11,14,-4,27,"24,6","51,6",33,179,511,"2,36",156,"28,2","0,39","18,5",5630,"81,1",35245
 Fulham,eng Premier League,,14,14,-10,23,"29,5","48,8",22,226,506,"1,57",152,"33,6","0,25","18,1",5849,"80,6",35303
 Genoa,it Serie A,,14,14,-4,27,"26,9","41,7",28,156,369,2,136,"28,7","0,38","17,4",4117,"74,4",31676
 Getafe,es La Liga,,9,15,-3,24,"28,5","40,9",30,159,414,2,166,"34,9","0,26","17,6",3621,"67,2",32648
 Girona,es La Liga,,2,15,16,22,"26,6","57,7",59,329,662,"3,93",200,35,"0,47","16,7",7146,"84,9",42756
 Granada,es La Liga,,19,15,-16,27,"27,5","44,8",33,217,381,"2,2",155,"36,8","0,26","17,3",4650,"75,6",34020
