TeamId,Squad,Competition,Country,GamesPlayed,Rank,GoalDiff,Attendance,PlUsed,PlAge,Possession,TotalGlsAsist,PrgCariers,PrgPasses,GlsAsistPer90,Sh,SoTPercentage,GlsperSoT,DistofShot,PassesCmp,PassCmpPer,PrgDist
1,Ajaccio,fr Ligue 1,fr FRA,38,18,-51,"7,369",36,29.1,43.2,34,487,1169,0.89,311,26,0.2,18.1,11216,73.4,81586
2,Almería,es La Liga,es ESP,38,17,-16,"12,961",29,26.4,45.1,82,569,1090,2.16,439,35.3,0.3,18.1,12151,76.6,89276
3,Angers,fr Ligue 1,fr FRA,38,20,-48,"9,63",33,25.7,46.9,49,632,1393,1.29,367,33,0.22,17.5,14103,80.8,88748
4,Arsenal,eng Premier League,eng ENG,38,2,45,"60,191",26,24.7,59.3,148,824,2049,3.89,589,32.9,0.42,16,18281,83.2,100635
5,Aston Villa,eng Premier League,eng ENG,38,7,5,"39,485",26,27,49.3,84,637,1242,2.21,427,34,0.32,18,13782,79.2,87581
6,Atalanta,it Serie A,it ITA,38,5,18,"18,241",27,26.5,49.9,106,687,1637,2.79,506,33.2,0.35,16.9,15462,79.3,97492
7,Athletic Club,es La Liga,es ESP,38,8,4,"43,488",26,27.4,51.6,79,864,1816,2.08,541,29,0.26,17.1,14440,77.5,96037
8,Atlético Madrid,es La Liga,es ESP,38,3,37,"55,8",27,28.5,50.6,119,730,1571,3.13,538,36.2,0.34,17,16814,82.1,101839
9,Augsburg,de Bundesliga,de GER,34,15,-21,"27,956",34,25.9,41.7,70,331,847,2.06,354,28.5,0.37,18.2,8422,66.1,75215
10,Auxerre,fr Ligue 1,fr FRA,38,17,-28,"15,606",33,27.3,43.3,49,531,1284,1.29,420,27.9,0.21,19.6,12386,77.5,90967
11,Barcelona,es La Liga,es ESP,38,1,50,"83,498",29,25.9,64.3,125,963,2180,3.29,570,32.8,0.37,15.8,21293,86.1,115126
12,Bayern Munich,de Bundesliga,de GER,34,1,54,75,28,26.6,64.2,157,863,2041,4.62,625,40.2,0.35,16.7,19404,85.4,115394
13,Betis,es La Liga,es ESP,38,6,5,"49,635",30,28.6,50.6,69,620,1272,1.82,411,33.6,0.25,18.1,14678,80.4,92460
14,Bochum,de Bundesliga,de GER,34,14,-32,"25,318",26,29.4,46.1,65,350,1022,1.91,397,32,0.27,18.1,9209,68,86106
